"url","status","finalUrl","redirectHops","rateLimited","providerValidated","broken","error","scope"
"https://x3yyntt5tp-staging.wpdns.site/es/privacy-policy/","200","https://x3yyntt5tp-staging.wpdns.site/es/privacy-policy/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/terms-of-service/","200","https://x3yyntt5tp-staging.wpdns.site/es/terms-of-service/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/stories/","200","https://x3yyntt5tp-staging.wpdns.site/stories/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/","200","https://x3yyntt5tp-staging.wpdns.site/locations/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","200","https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/preschool/","200","https://x3yyntt5tp-staging.wpdns.site/programs/preschool/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/guides/how-to-choose-daycare-georgia/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/29/top-questions-to-ask-childcare-providers/","1","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/guides/daycare-costs-georgia-2026/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/26/chroma-early-learning-academy-tuition-fees-guide/","1","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/guides/ga-pre-k-vs-private-pre-k/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/26/georgia-pre-k-eligibility-requirements-application-guide/","1","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-tour/","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/","1","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/","200","https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/2025/12/30/childcare-preschool-in-austell-ga-south-cobb-campus-by-chroma/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/30/childcare-preschool-in-austell-ga-south-cobb-campus-by-chroma/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/2025/12/03/chroma-academy-teaching-staff-who-educates-your-child-and-how-their-qualifications-ensure-quality-early-childhood-education/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/03/chroma-academy-teaching-staff-who-educates-your-child-and-how-their-qualifications-ensure-quality-early-childhood-education/","0","false","false","false","","internal"
