meta_key,source_file,discovery_methods,api_write,content_write_policy,geo_status
program_hero_description,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_hero_title,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_hero_title,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_icon,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_lesson_plan_file,chroma-excellence-theme/inc/cpt-programs.php,register_post_meta|field_map|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_locations,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_locations_served,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-program-relationships.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_meta_description,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_meta_title,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_prerequisites,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-program-relationships.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_prism_academic,chroma-excellence-theme/inc/cpt-programs.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_creative,chroma-excellence-theme/inc/cpt-programs.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_description,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_description,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_emotional,chroma-excellence-theme/inc/cpt-programs.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_focus_items,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_focus_items,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_physical,chroma-excellence-theme/inc/cpt-programs.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_social,chroma-excellence-theme/inc/cpt-programs.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_title,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_prism_title,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_related,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-program-relationships.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_schedule_items,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_schedule_items,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_schedule_title,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_schedule_title,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_seo_heading,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_seo_highlights,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
