kind,name,path,target,status,notes
template-part,template-parts/home/programs-wizard,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/programs-wizard.php,exists,
template-part,template-parts/home/curriculum-chart,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/curriculum-chart.php,exists,
template-part,template-parts/home/schedule-tabs,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/schedule-tabs.php,exists,
template-part,template-parts/home/parent-reviews,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/parent-reviews.php,exists,
template-part,template-parts/home/locations-preview,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/locations-preview.php,exists,
template-part,template-parts/home/tour-cta,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/tour-cta.php,exists,
template-part,template-parts/home/faq,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/faq.php,exists,
wp-hook,pre_get_posts,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,delete_post,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,trash_post,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,heartbeat_settings,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,init,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,should_load_separate_core_block_assets,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,litespeed_media_lazy_img_excludes,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_img_tag_add_loading_attr,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,send_headers,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,wp_get_attachment_headers,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_img_tag_add_width_and_height_attr,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,elementor/image/print_dimensions,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,post_thumbnail_html,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,get_image_tag,chroma-excellence-theme/functions.php,filter,inventory,
