kind,name,path,line,scope,status,notes
wp_action,save_post,chroma-excellence-theme\inc\contact-page-meta.php,326,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\contact-page-meta.php,375,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-careers.php,64,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\cpt-careers.php,77,hook,registered,
wp_action,save_post_career,chroma-excellence-theme\inc\cpt-careers.php,152,hook,registered,
cpt,career,chroma-excellence-theme\inc\cpt-careers.php,62,post_type,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-cities.php,68,hook,registered,
cpt,city,chroma-excellence-theme\inc\cpt-cities.php,66,post_type,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-locations.php,46,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-locations.php,90,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-locations.php,120,hook,registered,
wp_action,manage_location_posts_custom_column,chroma-excellence-theme\inc\cpt-locations.php,166,hook,registered,
wp_action,location_region_add_form_fields,chroma-excellence-theme\inc\cpt-locations.php,224,hook,registered,
wp_action,location_region_edit_form_fields,chroma-excellence-theme\inc\cpt-locations.php,269,hook,registered,
wp_action,created_location_region,chroma-excellence-theme\inc\cpt-locations.php,286,hook,registered,
wp_action,edited_location_region,chroma-excellence-theme\inc\cpt-locations.php,287,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\cpt-locations.php,303,hook,registered,
wp_action,save_post_location,chroma-excellence-theme\inc\cpt-locations.php,941,hook,registered,
wp_filter,manage_location_posts_columns,chroma-excellence-theme\inc\cpt-locations.php,138,hook,registered,
wp_filter,manage_edit-location_sortable_columns,chroma-excellence-theme\inc\cpt-locations.php,177,hook,registered,
wp_filter,enter_title_here,chroma-excellence-theme\inc\cpt-locations.php,190,hook,registered,
cpt,location,chroma-excellence-theme\inc\cpt-locations.php,44,post_type,registered,
taxonomy,location_region,chroma-excellence-theme\inc\cpt-locations.php,67,taxonomy,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-programs.php,47,hook,registered,
wp_action,admin_init,chroma-excellence-theme\inc\cpt-programs.php,68,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-programs.php,91,hook,registered,
wp_action,manage_program_posts_custom_column,chroma-excellence-theme\inc\cpt-programs.php,131,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-programs.php,250,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\cpt-programs.php,266,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\cpt-programs.php,367,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\cpt-programs.php,401,hook,registered,
wp_action,save_post_program,chroma-excellence-theme\inc\cpt-programs.php,498,hook,registered,
wp_action,save_post_program,chroma-excellence-theme\inc\cpt-programs.php,697,hook,registered,
wp_action,save_post_program,chroma-excellence-theme\inc\cpt-programs.php,953,hook,registered,
